SRR16352157
chr10:120802118|120803605	2
chr10:17271878|17275681	4
chr10:17272677|17275681	2
chr10:71923561|71923747	2
chr11:70265852|70265962	21
chr12:10561511|10587129	5
chr12:49521767|49521863	2
chr12:49525081|49580616	6
chr12:56824692|56825354	2
chr12:6879090|6879384	3
chr12:95868029|95869954	4
chr13:107209396|107209479	2
chr13:45951196|45951350	2
chr14:105964950|105965174	3
chr14:56138284|56138565	6
chr14:73408453|73409744	2
chr14:74009754|74040294	19
chr15:34674998|34820951	30
chr15:34678826|34824200	33
chr15:34683324|34828190	23
chr15:34690835|34829848	15
chr15:34691356|34837154	13
chr15:34727584|34867115	3
chr15:68099111|68099399	2
chr16:15212783|15212911	2
chr16:15212783|15467700	5
chr16:16413306|16452929	10
chr16:21498899|21927345	3
chr16:223471|227132	2
chr16:29465337|29560083	2
chr16:70365625|70400764	15
chr17:25967598|26073249	6
chr17:25967669|26073249	2
chr17:25980576|26084379	20
chr17:40762126|40811570	17
chr17:40766862|40818502	50
chr17:41245420|41245647	3
chr17:43590551|43596884	9
chr17:44553510|44770434	7
chr17:65850056|66202379	15
chr19:12503417|12542794	6
chr19:17443081|17450408	4
chr19:17443739|17444609	2
chr19:34882848|34883797	17
chr19:36066505|36066634	97
chr19:45419447|45430290	169
chr19:9767223|9801945	2
chr19:9767223|9835756	2
chr19:9771396|9805543	21
chr1:1417518|1454370	4
chr1:1425943|1463189	2
chr1:144146812|144620094	3
chr1:146035039|146215318	33
chr1:148579606|148739909	4
chr1:155184845|155205102	3
chr1:155581973|155717471	8
chr1:155583448|155719222	11
chr1:1572443|1635434	15
chr1:1573862|1636464	10
chr1:1577267|1640391	4
chr1:1586823|1650894	32
chr1:1599766|1663962	2
chr1:16910089|16915558	3
chr1:24019207|24020403	3
chr22:36600674|36629501	9
chr22:38687035|38687429	2
chr22:39345117|39388154	4
chr22:39357392|39385615	11
chr22:39358433|39388154	3
chr22:41209724|41210874	5
chr2:217057357|217059674	5
chr2:231162136|231258176	3
chr2:231175458|231265128	3
chr2:55276881|55404917	3
chr2:87259192|87345740	2
chr2:96559444|96570581	2
chr3:129108097|129211037	9
chr3:65744778|65760224	2
chr5:141044489|141044632	3
chr5:151049221|151051156	3
chr5:768950|878602	6
chr6:26368793|26443670	7
chr6:26370550|26406484	7
chr6:26390233|26426751	4
chr6:29912277|30229256	101
chr6:29913011|29976954	52
chr6:31238850|31323369	34
chr6:31967264|31999910	3
chr7:102116628|102207530	3
chr7:102136916|102235816	2
chr7:148711996|148716289	16
chr7:2402280|2402399	4
chr7:26232871|26232993	14
chr7:32957923|33135044	6
chr7:34989409|35159332	12
chr7:65419061|65469124	27
chr7:72420597|72718859	45
chr7:72422691|72719094	4
chr7:72425164|72719094	7
chr7:72467930|72697009	2
chr7:76109738|76589266	2
chr7:76121470|76610577	2
chr8:141615896|141856777	5
chr8:141645584|141856777	5
chr8:144885817|144886110	26
chr8:144895200|144895671	2
chr8:145218674|145448187	8
chr8:145297272|145465473	3
chr8:145298397|145466584	2
chr8:145299125|145467898	3
chr8:145318377|145487386	73
chr8:145318884|145487750	4
chr8:146278448|146279420	17
chr8:30941215|30942762	3
chr8:61429712|61484672	4
chr8:80915308|80942288	2
chr9:100773553|100774754	72
chr9:100773567|100773671	6
chr9:116764906|116769703	7
chr9:131396110|131396261	3
chr9:139438476|139438554	2
chr9:139994148|139994310	3
chr9:19378366|19378504	5
chr9:35684284|35684804	34
chr9:36204118|36204180	5
chr9:68728837|69066663	21
chr9:68741663|69067928	8
chr9:68767123|69084959	9
chr9:70212122|70461714	3
chr9:97076744|97200810	7
chr9:97077143|97200810	9
chrM:10747|11039	2
chrM:13847|13990	2
chrM:1684|1950	5
chrM:1692|1896	2
chrM:2146|2301	2
chrM:2824|2987	4
chrM:5156|5482	4
chrM:6337|6603	2
chrM:6547|6983	2
chrM:8399|8625	18
chrM:8408|8625	6
chrM:8438|8611	4
chrM:8457|8830	3
chrM:8473|8625	4
chrM:8922|8998	9
chrM:8928|9031	4
chrM:8928|9082	3
chrM:8928|9089	6
chrM:9032|9118	3
chrX:119070260|119360449	5
chrX:12995026|12995149	6
chrX:134854790|134870132	4
chrX:134856738|134872777	6
chrX:134993351|134993491	3
chrX:151902858|151921037	4
chrX:151903104|151920098	17
chrX:15706784|15768288	5
chrX:15711086|15782898	7
chrX:15739620|15782898	4
chrX:24091718|24093076	8
chrX:3744642|3781564	2
chrX:3744703|3783030	3
chrX:3746547|3817463	3
chrX:3772733|3843384	2
chrX:3784991|3820112	4
chrX:3784991|3821610	2
chrX:57146838|57162502	2
chrX:74318777|74332807	3
